Roll,Pitch,Yaw,Time
-12.60,-38.14,-54.44,0.0395
-12.38,-38.20,-54.05,0.0396
-12.55,-38.01,-53.88,0.0397
-12.57,-38.08,-54.94,0.0398
-12.51,-38.05,-54.21,0.0399
-12.47,-38.37,-54.41,0.0401
-12.85,-38.09,-54.96,0.0404
-12.49,-38.05,-53.17,0.0405
-12.67,-38.07,-53.71,0.0406
-12.43,-38.07,-54.93,0.0408
-12.78,-38.04,-54.55,0.0410
-12.33,-37.97,-55.31,0.0411
-12.48,-38.33,-54.68,0.0412
-12.33,-38.13,-54.86,0.0413
-13.34,-37.55,-56.62,0.0415
-12.49,-38.01,-54.24,0.0416
-12.40,-37.99,-54.41,0.0417
-12.39,-38.13,-55.26,0.0418
-12.33,-38.11,-53.26,0.0419
-12.49,-38.09,-55.91,0.0421
-12.55,-37.80,-54.83,0.0422
-12.55,-38.11,-55.82,0.0423
-12.40,-38.15,-54.71,0.0424
-12.22,-38.09,-53.37,0.0425
-12.92,-37.88,-53.70,0.0427
-12.49,-37.91,-55.12,0.0428
-12.35,-38.25,-55.87,0.0429
-12.54,-37.92,-57.00,0.0430
-12.51,-37.76,-54.16,0.0431
-12.36,-37.97,-55.23,0.0433
-12.65,-38.04,-54.96,0.0434
-12.86,-37.82,-56.08,0.0435
-12.37,-37.94,-53.60,0.0436
-12.56,-37.95,-52.98,0.0438
-12.46,-38.02,-54.23,0.0439
-12.63,-37.91,-56.12,0.0440
-12.71,-38.03,-55.01,0.0441
-12.54,-38.01,-53.67,0.0442
-12.54,-38.01,-55.70,0.0444
-12.59,-38.10,-55.93,0.0445
-12.50,-38.17,-53.94,0.0446
-12.41,-38.28,-54.83,0.0447
-12.46,-38.26,-54.68,0.0449
-12.38,-37.84,-55.05,0.0450
-12.68,-38.14,-53.95,0.0451
-12.52,-37.89,-55.10,0.0452
-12.59,-38.19,-57.32,0.0453
-12.47,-37.77,-53.92,0.0455
-12.47,-38.31,-54.52,0.0456
-12.42,-37.72,-55.15,0.0457
-12.32,-38.06,-53.66,0.0458
-12.50,-38.17,-52.96,0.0460
-12.30,-37.95,-54.56,0.0461
-12.33,-37.75,-54.58,0.0462
-12.49,-38.11,-55.03,0.0463
-12.42,-38.28,-53.44,0.0464
-12.59,-37.77,-54.87,0.0466
-12.63,-38.17,-55.71,0.0467
-12.16,-38.16,-54.07,0.1164
-12.55,-37.90,-54.35,0.1898
-12.67,-38.07,-54.83,0.2598
-12.37,-38.07,-54.90,0.3331
-12.59,-38.00,-54.94,0.4031
-12.74,-37.89,-55.18,0.4730
-12.55,-38.30,-55.62,0.5465
-12.39,-38.07,-53.85,0.6162
-12.71,-37.70,-56.79,0.6898
-12.54,-37.98,-55.94,0.7596
-12.15,-37.93,-55.22,0.8331
-12.48,-38.34,-54.68,0.9030
-12.62,-37.92,-55.22,0.9764
-12.52,-38.11,-55.18,1.0462
-12.54,-37.99,-54.52,1.1196
-12.61,-37.99,-53.97,1.1896
-12.65,-38.16,-55.95,1.2593
-12.40,-38.16,-57.09,1.3329
-12.53,-38.33,-54.09,1.4027
-12.49,-37.98,-53.64,1.4763
-12.70,-38.13,-54.59,1.5462
-12.49,-38.07,-56.26,1.6197
-12.55,-38.06,-54.69,1.6894
-12.36,-38.07,-55.97,1.7628
-12.68,-38.02,-54.43,1.8327
-12.66,-38.05,-56.24,1.9061
-12.61,-38.07,-56.53,1.9762
-12.66,-38.17,-54.51,2.0460
-12.63,-38.14,-55.52,2.1195
-12.56,-38.13,-53.24,2.1892
-12.34,-37.92,-54.99,2.2627
-12.72,-37.80,-54.92,2.3325
-12.61,-38.05,-54.16,2.4060
-12.45,-37.83,-56.40,2.4761
-12.77,-37.99,-55.35,2.5494
-12.59,-38.07,-55.13,2.6193
-12.21,-38.31,-54.33,2.6927
-12.55,-38.19,-54.77,2.7628
-12.65,-38.07,-55.42,2.8323
-12.52,-38.15,-54.80,2.9059
-12.39,-38.00,-54.20,2.9757
-12.47,-38.08,-54.41,3.0492
-12.61,-38.09,-55.18,3.1191
-12.53,-37.96,-54.95,3.1925
-12.43,-38.03,-54.15,3.2623
-12.55,-37.85,-53.97,3.3357
-12.33,-37.89,-54.76,3.4057
-12.29,-38.11,-55.02,3.4791
-12.54,-38.13,-55.65,3.5491
-12.60,-37.76,-55.75,3.6189
-12.44,-38.07,-55.87,3.6924
-12.59,-38.09,-54.88,3.7623
-12.46,-38.04,-54.64,3.8369
-12.41,-37.98,-55.04,3.9056
-12.39,-38.03,-53.14,3.9789
-12.78,-38.05,-54.28,4.0492
-12.57,-37.98,-54.89,4.1223
-12.70,-38.02,-54.06,4.1925
-12.47,-38.33,-54.27,4.2656
-12.08,-37.28,-53.60,4.3357
