Roll,Pitch,Yaw,Time
-12.47,76.93,-134.84,0.0162
-12.39,76.95,-135.21,0.0162
-12.63,76.81,-133.65,0.0163
-12.38,76.89,-134.99,0.0163
-12.3,76.99,-134.38,0.0164
-12.25,77.17,-134.11,0.0164
-12.43,76.88,-134.56,0.0165
-12.22,76.96,-134.13,0.0165
-12.53,76.64,-133.1,0.0166
-12.27,76.92,-135.42,0.0166
-12.43,76.91,-134.37,0.0167
-12.28,77.01,-134.48,0.0168
-12.33,77.04,-134.65,0.0168
-12.39,77.0,-134.45,0.0169
-12.09,77.47,-134.41,0.0169
-12.18,77.16,-135.43,0.017
-12.31,77.05,-134.28,0.017
-12.52,76.93,-134.55,0.0171
-12.71,76.67,-133.5,0.0171
-12.25,77.1,-134.65,0.0172
-12.15,77.28,-134.75,0.0172
-12.82,76.62,-133.9,0.0173
-12.36,76.89,-134.11,0.0174
-12.65,76.65,-134.0,0.0174
-12.33,76.93,-134.37,0.0175
-12.33,76.79,-133.84,0.0175
-12.39,76.88,-133.23,0.0176
-12.07,77.17,-133.49,0.0176
-12.17,77.12,-134.79,0.0177
-12.42,76.82,-133.59,0.0177
-12.06,77.42,-134.31,0.0178
-12.25,77.3,-133.6,0.0179
-12.01,77.43,-135.39,0.0179
-12.53,77.05,-133.98,0.018
-12.25,77.19,-133.24,0.018
-12.3,77.17,-135.55,0.0181
-12.65,76.87,-133.79,0.0181
-12.34,77.13,-135.12,0.0182
-12.3,77.05,-135.92,0.0182
-12.61,76.82,-134.75,0.0183
-12.39,76.99,-134.84,0.0183
-12.41,76.88,-133.94,0.0184
-12.78,76.54,-134.53,0.0184
-12.47,76.89,-133.63,0.0185
-13.11,76.29,-134.05,0.0186
-12.78,76.69,-134.3,0.0186
-12.6,76.75,-134.68,0.0187
-12.5,76.83,-133.49,0.0187
-12.59,76.83,-133.82,0.0188
-12.77,76.68,-134.89,0.0188
-12.65,76.8,-134.04,0.0189
-12.6,76.74,-134.2,0.0189
-12.36,76.93,-135.17,0.019
-12.53,76.71,-135.17,0.0191
-12.82,76.59,-134.29,0.0191
-12.66,76.6,-133.01,0.0192
-12.43,76.86,-133.47,0.0192
-12.91,76.71,-133.92,0.0193
-12.42,76.97,-134.0,0.0193
-13.15,76.32,-132.66,0.0194
-12.59,76.65,-134.27,0.0194
-12.56,76.71,-134.55,0.0195
-12.74,76.58,-133.48,0.0195
-12.67,76.62,-134.51,0.0196
-12.91,76.59,-134.44,0.0197
-12.46,76.82,-134.68,0.0197
-12.48,76.88,-134.37,0.0198
-12.62,76.67,-133.79,0.0198
-12.66,76.62,-134.85,0.0199
-12.69,76.63,-134.13,0.0199
-12.82,76.64,-133.3,0.02
-12.63,76.74,-134.19,0.02
-12.79,76.49,-134.09,0.0201
-12.83,76.55,-134.24,0.0201
-12.66,76.71,-135.31,0.0202
-12.69,76.58,-133.52,0.0203
-12.69,76.56,-133.93,0.0203
-12.7,76.53,-133.61,0.0204
-12.51,76.87,-133.43,0.0204
-13.0,76.48,-134.02,0.0205
-12.81,76.65,-134.28,0.0205
-12.75,76.74,-133.59,0.0206
-12.71,76.76,-134.08,0.0206
-12.69,76.63,-133.94,0.0207
-12.7,76.44,-133.78,0.0207
-12.65,76.8,-133.26,0.0208
-12.8,76.45,-133.54,0.0209
-13.2,76.21,-132.48,0.0209
-12.67,76.67,-133.68,0.021
-12.75,76.73,-133.67,0.021
-12.6,76.78,-132.6,0.0211
-12.72,76.6,-133.27,0.0211
-13.07,76.48,-134.79,0.0212
-12.38,77.15,-133.62,0.0212
-12.82,76.9,-134.53,0.0213
-12.96,76.79,-133.46,0.0213
-12.39,77.32,-133.05,0.0214
-12.61,76.97,-134.2,0.0215
-12.7,76.95,-134.04,0.0215
-12.47,77.12,-133.44,0.0216
-12.41,77.19,-133.62,0.0216
-12.51,77.07,-134.43,0.0217
-12.53,77.11,-134.51,0.0217
-11.75,77.71,-134.9,0.0218
-11.74,77.69,-135.61,0.0218
-12.32,77.18,-134.55,0.0219
-11.89,77.61,-136.01,0.0219
-12.02,77.29,-135.27,0.022
-12.43,77.13,-134.11,0.022
-12.53,76.98,-134.1,0.0221
-12.4,77.05,-134.11,0.0222
-12.95,76.49,-134.31,0.0222
-12.7,76.66,-133.66,0.0223
-12.29,77.17,-134.22,0.0223
-12.67,76.68,-133.76,0.0224
-12.52,76.79,-135.17,0.0224
-12.14,77.07,-134.65,0.0225
-13.01,76.34,-133.19,0.0225
-12.71,76.57,-135.22,0.0226
-12.22,77.01,-134.26,0.0227
-12.33,76.92,-133.4,0.0227
-12.23,76.83,-134.99,0.0228
-12.16,77.16,-135.35,0.0228
-12.39,76.91,-135.24,0.0229
-12.46,76.9,-133.69,0.0229
-12.15,77.18,-135.12,0.023
-12.27,77.04,-133.82,0.023
-12.36,76.85,-134.7,0.0231
-12.62,76.77,-133.67,0.0231
-12.55,76.81,-133.58,0.0232
-12.32,76.95,-134.35,0.0232
-12.72,76.66,-134.59,0.0233
-12.71,76.41,-133.7,0.0234
-12.57,76.68,-133.75,0.0234
-12.41,76.86,-134.15,0.0235
-13.12,75.93,-133.84,0.0235
-12.67,76.54,-134.54,0.0236
-12.57,76.44,-133.5,0.0236
-12.71,76.43,-133.34,0.0237
-12.57,76.58,-135.0,0.0237
-12.56,76.51,-133.08,0.0238
-12.76,76.5,-133.3,0.0238
-12.27,76.91,-135.1,0.0239
-12.49,76.79,-134.22,0.024
-12.36,76.89,-134.41,0.024
-12.61,76.63,-134.65,0.0241
-12.82,76.47,-133.98,0.0241
-12.63,76.47,-133.61,0.0242
-12.59,76.56,-133.84,0.0242
-12.82,76.29,-133.58,0.0243
-12.63,76.58,-135.21,0.0243
-12.68,76.46,-134.05,0.0244
-12.71,76.44,-134.38,0.0244
-12.44,76.85,-133.89,0.0245
-12.77,76.4,-134.05,0.0245
-12.69,76.54,-133.13,0.0246
-12.5,76.76,-134.45,0.0246
-12.73,76.45,-134.52,0.0247
-12.94,76.28,-134.45,0.0247
-13.3,75.94,-134.27,0.0248
-12.69,76.63,-134.55,0.0248
-12.32,76.98,-134.22,0.0249
-12.57,76.6,-134.28,0.0249
-12.46,76.6,-134.05,0.025
-12.95,76.28,-133.58,0.025
-12.66,76.51,-134.13,0.0251
-12.79,76.49,-133.14,0.0251
-13.56,75.52,-133.85,0.0252
-12.97,76.19,-134.38,0.0252
-12.67,76.57,-134.13,0.0253
-12.88,76.39,-134.18,0.0253
-12.54,76.57,-133.96,0.0254
-12.76,76.33,-133.36,0.0254
-12.72,76.5,-134.41,0.0255
-12.57,76.67,-133.51,0.0255
-12.96,76.12,-134.75,0.0256
-12.87,76.36,-133.94,0.0256
-12.51,76.7,-133.4,0.0257
-12.79,76.34,-133.25,0.0257
-12.85,76.33,-133.38,0.0258
-12.78,76.36,-133.45,0.0259
-12.85,76.25,-134.62,0.0259
-12.76,76.45,-134.81,0.026
-12.77,76.55,-133.46,0.026
-13.16,76.05,-134.58,0.026
-13.12,76.13,-134.68,0.0261
-13.08,76.25,-133.19,0.0262
-13.09,76.19,-133.36,0.0262
-12.78,76.52,-133.27,0.0263
-12.76,76.37,-133.41,0.0263
-13.0,76.09,-132.63,0.0263
-12.98,76.29,-133.84,0.0264
-12.88,76.22,-132.59,0.0265
-13.01,76.14,-133.87,0.0265
-12.72,76.5,-133.6,0.0266
-12.23,77.02,-134.26,0.0266
-13.24,76.01,-133.54,0.0267
-13.36,76.3,-134.09,0.0267
-13.44,76.31,-133.34,0.0268
-13.45,76.16,-134.7,0.0268
-11.05,78.35,-135.18,0.0269
-10.68,77.78,-135.53,0.0269
-12.08,77.9,-134.93,0.027
-7.49,82.1,-137.58,0.027
-9.55,80.32,-137.59,0.0271
-9.84,79.96,-137.19,0.0271
-9.98,79.66,-136.09,0.0272
-10.81,79.04,-136.44,0.0272
-10.02,79.14,-137.09,0.0273
-10.86,79.03,-135.64,0.0273
-10.03,79.27,-135.63,0.0274
-10.75,78.56,-136.26,0.0274
-10.25,79.17,-135.06,0.0275
-10.61,78.95,-135.78,0.0275
-10.44,79.25,-136.42,0.0276
-10.36,79.25,-135.41,0.0276
-10.6,78.97,-135.97,0.0277
-10.71,78.89,-135.29,0.0277
-11.22,78.42,-135.0,0.0278
-10.56,79.24,-135.37,0.0278
-11.54,77.74,-135.7,0.0279
-11.49,77.97,-135.93,0.0279
-11.38,77.99,-135.06,0.028
-11.26,78.18,-135.27,0.028
-10.94,78.52,-136.7,0.0281
-12.1,77.12,-134.9,0.0281
-11.71,77.68,-134.78,0.0282
-12.3,77.31,-134.98,0.0282
-11.02,78.81,-135.53,0.0283
-11.96,77.48,-135.0,0.0283
-11.77,77.75,-135.08,0.0284
-11.66,77.74,-135.33,0.0284
-11.62,77.76,-134.95,0.0285
-11.44,77.98,-134.77,0.0285
-11.81,77.61,-134.06,0.0286
-11.43,77.9,-135.41,0.0286
-12.41,77.13,-135.55,0.0287
-11.45,77.88,-133.76,0.0287
-11.68,77.63,-135.43,0.0288
-11.82,77.5,-134.27,0.0288
-11.22,78.06,-135.01,0.0289
-11.41,77.84,-135.99,0.0289
-11.74,77.37,-135.31,0.029
-11.79,77.51,-134.55,0.029
-11.46,77.91,-135.26,0.0291
-11.68,77.69,-134.5,0.0291
-11.42,77.93,-135.07,0.0292
-11.47,77.74,-135.28,0.0292
-11.79,77.48,-135.46,0.0293
-11.71,77.64,-135.06,0.0293
-12.33,76.95,-135.26,0.0294
-11.26,77.96,-134.73,0.0294
-11.81,77.33,-134.75,0.0295
-12.06,77.32,-134.38,0.0295
-12.15,76.91,-134.85,0.0296
-11.91,77.16,-134.15,0.0296
-11.91,77.3,-134.32,0.0297
-11.89,77.35,-134.85,0.0297
-12.45,76.06,-134.72,0.0298
-12.12,76.99,-135.08,0.0298
-11.88,77.22,-134.05,0.0299
-12.02,76.98,-135.28,0.0299
-11.7,77.5,-135.53,0.03
-11.9,77.33,-134.93,0.03
-10.34,78.82,-135.25,0.0301
-11.57,77.52,-135.3,0.0301
-11.81,77.37,-136.77,0.0302
-11.69,77.65,-134.2,0.0302
-11.7,77.53,-135.56,0.0303
-11.54,77.73,-135.67,0.0303
-11.04,78.41,-135.44,0.0304
-11.15,78.1,-136.11,0.0304
-11.24,78.08,-135.25,0.0305
-11.5,77.92,-136.08,0.0305
-11.64,77.64,-135.65,0.0306
-11.64,77.66,-134.89,0.0306
-11.11,78.21,-135.81,0.0307
-11.68,77.6,-136.38,0.0307
-11.62,77.53,-134.7,0.0308
-11.54,77.77,-135.09,0.0308
-11.28,78.08,-135.21,0.0309
-11.38,77.84,-134.54,0.0309
-11.67,77.5,-135.67,0.031
-11.27,77.98,-135.79,0.031
-11.51,77.77,-136.36,0.0311
-11.77,77.56,-135.63,0.0312
-12.12,77.03,-135.92,0.0312
-11.54,77.86,-134.78,0.0312
-11.57,77.78,-135.98,0.0313
-11.64,77.68,-134.21,0.0314
-11.64,77.75,-134.12,0.0314
-11.63,77.74,-134.9,0.0315
-11.72,77.68,-134.56,0.0315
-11.34,77.96,-134.6,0.0316
-11.83,77.38,-134.62,0.0316
-11.94,77.32,-135.23,0.0317
-11.8,77.53,-134.87,0.0317
-11.51,77.87,-136.28,0.0318
-11.7,77.7,-136.0,0.0318
-11.51,77.82,-136.01,0.0318
-11.68,77.59,-134.33,0.0319
-11.55,77.85,-134.72,0.0319
-11.52,77.98,-136.14,0.032
-11.84,77.53,-134.08,0.032
-11.94,77.45,-135.03,0.0321
-11.38,78.01,-135.49,0.0321
-11.61,77.73,-135.19,0.0322
-11.24,77.95,-135.57,0.0322
-11.56,77.75,-135.49,0.0323
-11.67,77.63,-135.43,0.0323
-11.71,77.68,-134.9,0.0324
-11.82,77.56,-134.84,0.0324
-11.65,77.68,-136.23,0.0325
-11.94,77.46,-134.5,0.0325
-11.92,77.38,-134.89,0.0326
-11.63,77.61,-134.73,0.0326
-11.52,77.95,-136.64,0.0327
